ID,Date,Video Type,tag_map,partido_map,cat_match,content_type_map,Impressions,Likes,Comments,Shares,Video Views,Interactions,Avg_percentage_viewed,Watch_time_hours,Ingresos
****yZ_2XGk,7/20/2024,Short,Ninguno,Ninguno,Ninguno,Content_G,43346,269,18,7,6570,294,88.65,42.066,1.448
****kF_3svQ,7/18/2024,Short,tag_A,partido177,Otros,Content_J,106980,396,6,11,19541,413,86.65,117.5791,4.33
****8d_7-Mk,6/17/2024,Video,tag_B,partido141,Otros,Content_N,54898,27,0,2,3777,29,0.5355,64.6095,0
****YZ_8JJA,6/20/2024,Short,tag_B,partido160,Otros,Content_J,29127,97,5,3,5457,105,0.4866,39.8284,0
****ge_an0Q,6/16/2024,Short,tag_B,partido152,Otros,Content_J,13583,61,0,2,1865,63,0.3725,11.3861,0
****bC_aRTc,6/20/2024,Video,tag_B,partido153,Otros,Content_B,24271,12,1,0,768,13,0.5224,6.7981,0
****Rh_BqHI,8/5/2024,Short,tag_C,partido118,Otros,Content_S,124209,423,2,3,41905,428,77.77,407.3616,10.436
****WW_EV8A,6/29/2024,Short,tag_B,partido72,Otros,Content_F,25111,42,1,0,3256,43,0.4572,21.0914,0
****vZ_gQNY,7/11/2024,Short,tag_D,partido186,Semifinal,Content_V,199733,1441,175,855,76524,2471,0.8172,955.4226,0
****23_iSRo,6/29/2024,Short,tag_B,partido72,Otros,Content_F,19609,85,2,0,4370,87,0.6082,40.6043,0
****nG_IVCQ,6/15/2024,Video,tag_B,partido155,Otros,Content_K,268853,184,4,18,28022,206,0.6377,1439.4892,133.586
****dX_jEqo,6/22/2024,Short,tag_B,partido22,Otros,Content_J,17730,31,0,0,1002,31,0.3647,5.8881,0
****gX_kkTQ,6/15/2024,Short,tag_B,partido78,Otros,Content_J,12264,61,0,3,3265,64,0.4543,23.0712,0
****uu_KSmQ,7/30/2024,Short,Ninguno,Ninguno,Ninguno,Content_W,40152,172,2,2,9719,176,87.77,61.6054,2.16
****JE_lUB0,6/26/2024,Short,tag_D,Ninguno,Ninguno,Content_W,12284,211,4,4,5800,219,0.5724,51.6409,0
****oG_m4Ac,6/29/2024,Short,tag_B,partido72,Otros,Content_J,23293,52,1,0,1730,53,0.4534,11.9837,0
****zJ_MfCw,7/10/2024,Video,tag_B,partido106,Semifinal,Content_O,121815,51,4,2,12243,57,0.2497,2708.3981,121.933
